Date,Open,High,Low,Close,Volume,Change %
04/21/2022,"1,365.00","1,379.80","1,353.30","1,374.35",26.22M,1.48%
04/20/2022,"1,354.45","1,359.90","1,335.35","1,354.30",24.66M,0.90%
04/19/2022,"1,380.90","1,389.55","1,327.00","1,342.20",37.05M,-3.82%
04/18/2022,"1,418.85","1,431.65","1,390.05","1,395.45",22.81M,-4.74%
04/13/2022,"1,490.00","1,502.30","1,462.65","1,464.95",14.45M,-1.91%
04-12-2022,"1,484.00","1,506.85","1,480.15","1,493.50",13.72M,-0.18%
04-11-2022,"1,506.00","1,510.00","1,493.25","1,496.15",10.40M,-1.22%
04-08-2022,"1,512.10","1,525.75","1,497.30","1,514.65",20.63M,-0.14%
04-07-2022,"1,541.30","1,541.35","1,513.70","1,516.75",20.39M,-2.20%
04-06-2022,"1,587.70","1,589.80","1,547.35","1,550.85",13.51M,-3.57%
04-05-2022,"1,666.70","1,666.70","1,602.00","1,608.25",15.46M,-2.93%
04-04-2022,"1,580.00","1,722.10","1,562.55","1,656.80",48.73M,10.01%
04-01-2022,"1,476.40","1,510.00","1,470.30","1,506.00",7.28M,2.42%
03/31/2022,"1,471.00","1,484.70","1,465.90","1,470.35",7.15M,-0.45%
03/30/2022,"1,472.00","1,482.75","1,454.05","1,476.95",10.05M,1.73%
03/29/2022,"1,441.00","1,460.25","1,430.00","1,451.80",6.19M,1.33%
03/28/2022,"1,430.90","1,438.00","1,401.60","1,432.80",7.88M,0.13%
03/25/2022,"1,451.00","1,452.00","1,419.00","1,430.90",8.18M,-0.81%
03/24/2022,"1,466.00","1,469.65","1,434.55","1,442.65",10.08M,-2.47%
03/23/2022,"1,507.00","1,518.80","1,473.60","1,479.25",15.59M,-1.00%
03/22/2022,"1,481.30","1,498.00","1,457.20","1,494.15",5.23M,0.51%
03/21/2022,"1,487.00","1,493.65","1,472.80","1,486.50",6.13M,0.44%
03/17/2022,"1,472.00","1,489.80","1,470.55","1,480.05",7.41M,2.20%
03/16/2022,"1,447.00","1,455.00","1,436.20","1,448.15",6.68M,1.70%
03/15/2022,"1,443.50","1,449.50","1,411.75","1,424.00",9.43M,-1.29%
03/14/2022,"1,415.00","1,450.00","1,415.00","1,442.55",12.51M,3.28%
03-11-2022,"1,388.00","1,408.95","1,372.70","1,396.80",7.58M,0.29%
03-10-2022,"1,427.00","1,427.00","1,380.25","1,392.70",11.14M,1.57%
03-09-2022,"1,330.00","1,374.70","1,318.85","1,371.15",11.57M,3.26%
03-08-2022,"1,302.20","1,334.00","1,292.00","1,327.80",19.61M,0.23%
03-07-2022,"1,318.50","1,332.35","1,297.05","1,324.80",13.53M,-3.05%
03-04-2022,"1,360.00","1,386.00","1,336.90","1,366.50",10.61M,-0.33%
03-03-2022,"1,381.00","1,392.00","1,362.90","1,371.00",8.76M,-0.24%
03-02-2022,"1,386.50","1,398.40","1,354.40","1,374.25",19.25M,-3.65%
02/28/2022,"1,426.00","1,438.55","1,414.05","1,426.25",12.44M,-2.05%
02/25/2022,"1,439.95","1,465.90","1,432.85","1,456.10",9.16M,2.59%
02/24/2022,"1,449.90","1,474.95","1,407.15","1,419.40",11.82M,-5.43%
02/23/2022,"1,525.10","1,525.70","1,495.65","1,500.90",4.51M,-0.65%
02/22/2022,"1,489.80","1,522.10","1,487.95","1,510.70",4.77M,-0.75%
02/21/2022,"1,504.00","1,530.70","1,495.55","1,522.10",3.73M,0.64%
02/18/2022,"1,498.30","1,517.00","1,490.45","1,512.35",3.90M,0.39%
02/17/2022,"1,513.10","1,522.00","1,502.00","1,506.50",3.68M,-0.61%
02/16/2022,"1,534.35","1,534.75","1,507.00","1,515.75",5.02M,-0.14%
02/15/2022,"1,476.00","1,524.90","1,473.05","1,517.80",6.57M,2.99%
